Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre1, Apellidos1, edad1, calle1, codigopostal1, num1); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre2, Apellidos2, edad2, calle2, codigopostal2, num2); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre3, Apellidos3, edad3, calle3, codigopostal3, num3); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre4, Apellidos4, edad4, calle4, codigopostal4, num4); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre5, Apellidos5, edad5, calle5, codigopostal5, num5); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre6, Apellidos6, edad6, calle6, codigopostal6, num6); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre7, Apellidos7, edad7, calle7, codigopostal7, num7); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre8, Apellidos8, edad8, calle8, codigopostal8, num8); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre9, Apellidos9, edad9, calle9, codigopostal9, num9); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre10, Apellidos10, edad10, calle10, codigopostal10, num10); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre11, Apellidos11, edad11, calle11, codigopostal11, num11); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre12, Apellidos12, edad12, calle12, codigopostal12, num12); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre13, Apellidos13, edad13, calle13, codigopostal13, num13); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre14, Apellidos14, edad14, calle14, codigopostal14, num14); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre15, Apellidos15, edad15, calle15, codigopostal15, num15); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre16, Apellidos16, edad16, calle16, codigopostal16, num16); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre17, Apellidos17, edad17, calle17, codigopostal17, num17); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre18, Apellidos18, edad18, calle18, codigopostal18, num18); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre19, Apellidos19, edad19, calle19, codigopostal19, num19); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre20, Apellidos20, edad20, calle20, codigopostal20, num20); 
Insert into Personas (id,Nombre, Apellidos, fecha_nacimiento, calle, codigo_postal, numero, movil) values ( Nombre21, Apellidos21, edad21, calle21, codigopostal21, num21); 
